"code_module","code_presentation","id_assessment","assessment_type","date","weight"
"AAA","2013J","1752","TMA","19","10"
"AAA","2013J","1753","TMA","54","20"
"AAA","2013J","1754","TMA","117","20"
"AAA","2013J","1755","TMA","166","20"
"BBB","2013B","14991","CMA","54","1"
"BBB","2013B","14992","CMA","89","1"
"BBB","2013J","14997","TMA","47","18"
"BBB","2013J","14998","TMA","96","18"
"BBB","2013J","14999","TMA","131","18"
"BBB","2013J","15000","TMA","166","18"
"BBB","2013J","15001","TMA","208","18"
"BBB","2013J","15002","Exam","","100"
"BBB","2014J","15024","TMA","201","35"
"BBB","2014J","15025","Exam","","100"
"CCC","2014B","24286","CMA","18","2"
"CCC","2014B","24287","CMA","67","7"
"CCC","2014B","24288","CMA","137","8"
"CCC","2014B","24289","CMA","207","8"
"DDD","2013B","25339","TMA","200","15"
"DDD","2013B","25340","Exam","240","100"
"DDD","2013J","25348","TMA","25","10"
"DDD","2014B","25355","TMA","25","10"
"DDD","2014B","25356","TMA","53","12.5"
"DDD","2014J","25367","TMA","195","25"
"DDD","2014J","25368","Exam","","100"
"EEE","2013J","30709","TMA","33","16"
"EEE","2013J","30710","TMA","68","28"
"EEE","2014B","30718","Exam","228","100"
"EEE","2014J","30719","TMA","33","16"
"EEE","2014J","30720","TMA","68","28"
"EEE","2014J","30721","TMA","131","28"
"EEE","2014J","30722","TMA","166","28"
"EEE","2014J","30723","Exam","235","100"
"FFF","2013B","34865","CMA","222","0"
"GGG","2014J","37441","CMA","229","0"
"GGG","2014J","37442","CMA","229","0"
"GGG","2014J","37443","CMA","229","0"
"GGG","2014J","37435","TMA","61","0"
"GGG","2014J","37436","TMA","124","0"
"GGG","2014J","37437","TMA","173","0"
"GGG","2014J","37444","Exam","229","100"